id,time_stamp,symbol,quote_count,trade_count,open_px,close_px,high_px,low_px,created,modified
43,2013-07-19 08:58:00.000534+01,6A,200,12,1.0295000000,1.0296000000,1.0296000000,1.0295000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
44,2013-07-19 08:58:00.000534+01,FDAX,306,16,7866.0000000000,7867.5000000000,7867.5000000000,7865.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
45,2013-07-19 08:58:00.000534+01,LFZ,70,1,6391.5000000000,6391.5000000000,6391.5000000000,6391.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
46,2013-07-19 08:58:00.000534+01,EUR/GBP,94,4,0.8431000000,0.8430500000,0.8431000000,0.8430500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
47,2013-07-19 08:59:00.00054+01,6A,391,22,1.0295000000,1.0296000000,1.0296000000,1.0294000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
48,2013-07-19 08:59:00.00054+01,FDAX,1201,69,7867.0000000000,7870.0000000000,7870.5000000000,7867.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
49,2013-07-19 08:59:00.00054+01,LFZ,311,35,6391.5000000000,6392.0000000000,6392.5000000000,6391.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
50,2013-07-19 08:59:00.00054+01,EUR/GBP,167,2,0.8432500000,0.8431000000,0.8432500000,0.8431000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
51,2013-07-19 09:00:00.000428+01,6A,721,52,1.0296000000,1.0297000000,1.0297000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
52,2013-07-19 09:00:00.000428+01,FDAX,1452,101,7871.0000000000,7871.0000000000,7872.0000000000,7868.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
53,2013-07-19 09:00:00.000428+01,LFZ,372,40,6392.0000000000,6391.0000000000,6392.0000000000,6389.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
54,2013-07-19 09:00:00.000428+01,EUR/GBP,280,1,0.8432000000,0.8432000000,0.8432000000,0.8432000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
55,2013-07-19 09:01:00.00046+01,6A,806,82,1.0297000000,1.0297000000,1.0298000000,1.0297000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
56,2013-07-19 09:01:00.00046+01,FDAX,1171,70,7871.0000000000,7866.5000000000,7871.5000000000,7866.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
57,2013-07-19 09:01:00.00046+01,LFZ,370,23,6391.0000000000,6389.0000000000,6391.0000000000,6388.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
58,2013-07-19 09:01:00.00046+01,EUR/GBP,197,1,0.8432000000,0.8432000000,0.8432000000,0.8432000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
59,2013-07-19 09:02:00.000314+01,6A,577,41,1.0297000000,1.0296000000,1.0298000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
60,2013-07-19 09:02:00.000314+01,FDAX,1097,76,7867.0000000000,7862.0000000000,7867.0000000000,7861.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
61,2013-07-19 09:02:00.000314+01,LFZ,297,27,6388.5000000000,6386.5000000000,6388.5000000000,6386.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
62,2013-07-19 09:02:00.000314+01,EUR/GBP,202,9,0.8431000000,0.8432000000,0.8432000000,0.8431000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
63,2013-07-19 09:03:00.00054+01,6A,461,20,1.0297000000,1.0297000000,1.0297000000,1.0297000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
64,2013-07-19 09:03:00.00054+01,FDAX,927,53,7862.0000000000,7863.0000000000,7865.0000000000,7861.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
65,2013-07-19 09:03:00.00054+01,LFZ,342,26,6387.0000000000,6388.5000000000,6389.5000000000,6387.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
66,2013-07-19 09:03:00.00054+01,EUR/GBP,151,9,0.8432000000,0.8432000000,0.8432000000,0.8432000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
67,2013-07-19 09:04:00.000535+01,6A,343,21,1.0297000000,1.0297000000,1.0297000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
68,2013-07-19 09:04:00.000535+01,FDAX,758,45,7862.5000000000,7860.5000000000,7863.0000000000,7858.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
69,2013-07-19 09:04:00.000535+01,LFZ,248,17,6388.0000000000,6388.0000000000,6388.0000000000,6387.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
70,2013-07-19 09:04:00.000535+01,EUR/GBP,78,0,0.8430750000,0.8430750000,0.8430750000,0.8430750000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
71,2013-07-19 09:05:00.000546+01,6A,910,63,1.0296000000,1.0295000000,1.0296000000,1.0295000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
72,2013-07-19 09:05:00.000546+01,FDAX,2899,364,7860.0000000000,7850.0000000000,7860.5000000000,7845.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
73,2013-07-19 09:05:00.000546+01,LFZ,750,76,6388.0000000000,6384.5000000000,6388.0000000000,6383.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
74,2013-07-19 09:05:00.000546+01,EUR/GBP,171,3,0.8431000000,0.8429000000,0.8431000000,0.8429000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
75,2013-07-19 09:06:00.000544+01,6A,773,139,1.0294000000,1.0297000000,1.0297000000,1.0294000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
76,2013-07-19 09:06:00.000544+01,FDAX,1710,104,7850.5000000000,7847.5000000000,7850.5000000000,7846.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
77,2013-07-19 09:06:00.000544+01,LFZ,408,29,6384.5000000000,6384.5000000000,6385.0000000000,6384.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
78,2013-07-19 09:06:00.000544+01,EUR/GBP,116,0,0.8429000000,0.8429000000,0.8429000000,0.8429000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
79,2013-07-19 09:07:00.000455+01,6A,541,41,1.0298000000,1.0299000000,1.0299000000,1.0298000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
80,2013-07-19 09:07:00.000455+01,FDAX,1157,83,7847.0000000000,7850.5000000000,7852.5000000000,7847.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
81,2013-07-19 09:07:00.000455+01,LFZ,277,20,6384.5000000000,6385.5000000000,6386.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
82,2013-07-19 09:07:00.000455+01,EUR/GBP,349,8,0.8429000000,0.8433000000,0.8433000000,0.8429000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
83,2013-07-19 09:08:00.000085+01,6A,287,23,1.0299000000,1.0300000000,1.0300000000,1.0299000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
84,2013-07-19 09:08:00.000085+01,FDAX,545,28,7851.0000000000,7852.5000000000,7853.0000000000,7850.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
85,2013-07-19 09:08:00.000085+01,LFZ,185,11,6385.0000000000,6385.0000000000,6385.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
86,2013-07-19 09:08:00.000085+01,EUR/GBP,128,0,0.8432000000,0.8432000000,0.8432000000,0.8432000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
87,2013-07-19 09:09:00.000553+01,6A,747,68,1.0300000000,1.0299000000,1.0301000000,1.0299000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
88,2013-07-19 09:09:00.000553+01,FDAX,911,41,7853.0000000000,7851.5000000000,7853.5000000000,7850.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
89,2013-07-19 09:09:00.000553+01,LFZ,327,20,6385.5000000000,6384.5000000000,6385.5000000000,6384.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
90,2013-07-19 09:09:00.000553+01,EUR/GBP,202,5,0.8433000000,0.8433000000,0.8433000000,0.8433000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
91,2013-07-19 09:10:00.000431+01,6A,163,5,1.0300000000,1.0300000000,1.0300000000,1.0299000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
92,2013-07-19 09:10:00.000431+01,FDAX,908,70,7852.0000000000,7847.5000000000,7852.0000000000,7847.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
93,2013-07-19 09:10:00.000431+01,LFZ,249,18,6384.5000000000,6385.0000000000,6385.5000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
94,2013-07-19 09:10:00.000431+01,EUR/GBP,139,1,0.8432000000,0.8432000000,0.8432000000,0.8432000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
95,2013-07-19 09:11:00.000428+01,6A,376,32,1.0299000000,1.0299000000,1.0299000000,1.0298000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
96,2013-07-19 09:11:00.000428+01,FDAX,943,88,7847.5000000000,7846.5000000000,7847.5000000000,7845.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
97,2013-07-19 09:11:00.000428+01,LFZ,191,19,6385.5000000000,6385.0000000000,6386.5000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
98,2013-07-19 09:11:00.000428+01,EUR/GBP,106,5,0.8430000000,0.8429500000,0.8430000000,0.8429500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
99,2013-07-19 09:12:00.000548+01,6A,434,42,1.0300000000,1.0300000000,1.0300000000,1.0299000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
100,2013-07-19 09:12:00.000548+01,FDAX,889,44,7847.0000000000,7847.5000000000,7848.5000000000,7846.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
101,2013-07-19 09:12:00.000548+01,LFZ,296,18,6385.5000000000,6385.5000000000,6386.5000000000,6385.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
102,2013-07-19 09:12:00.000548+01,EUR/GBP,108,0,0.8430000000,0.8430000000,0.8430000000,0.8430000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
103,2013-07-19 09:13:00.000338+01,6A,269,10,1.0300000000,1.0300000000,1.0300000000,1.0300000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
104,2013-07-19 09:13:00.000338+01,FDAX,569,30,7847.5000000000,7849.0000000000,7849.5000000000,7847.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
105,2013-07-19 09:13:00.000338+01,LFZ,105,8,6385.5000000000,6386.5000000000,6386.5000000000,6385.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
106,2013-07-19 09:13:00.000338+01,EUR/GBP,134,0,0.8429250000,0.8429250000,0.8429250000,0.8429250000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
107,2013-07-19 09:14:00.000429+01,6A,281,3,1.0299000000,1.0299000000,1.0299000000,1.0299000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
108,2013-07-19 09:14:00.000429+01,FDAX,704,42,7849.0000000000,7847.0000000000,7849.5000000000,7846.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
109,2013-07-19 09:14:00.000429+01,LFZ,237,9,6386.0000000000,6384.5000000000,6386.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
110,2013-07-19 09:14:00.000429+01,EUR/GBP,154,2,0.8431500000,0.8431000000,0.8431500000,0.8431000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
111,2013-07-19 09:15:00.000547+01,6A,244,15,1.0300000000,1.0300000000,1.0300000000,1.0300000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
112,2013-07-19 09:15:00.000547+01,FDAX,709,29,7847.5000000000,7849.0000000000,7849.5000000000,7847.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
113,2013-07-19 09:15:00.000547+01,LFZ,179,14,6385.0000000000,6384.5000000000,6385.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
114,2013-07-19 09:15:00.000547+01,EUR/GBP,108,0,0.8430750000,0.8430750000,0.8430750000,0.8430750000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
115,2013-07-19 09:16:00.000558+01,6A,388,19,1.0300000000,1.0298000000,1.0300000000,1.0298000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
116,2013-07-19 09:16:00.000558+01,FDAX,557,33,7848.5000000000,7847.5000000000,7849.5000000000,7847.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
117,2013-07-19 09:16:00.000558+01,LFZ,156,7,6384.0000000000,6384.0000000000,6385.0000000000,6384.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
118,2013-07-19 09:16:00.000558+01,EUR/GBP,113,0,0.8432500000,0.8432500000,0.8432500000,0.8432500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
119,2013-07-19 09:17:00.000547+01,6A,244,11,1.0298000000,1.0298000000,1.0298000000,1.0297000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
120,2013-07-19 09:17:00.000547+01,FDAX,513,20,7847.5000000000,7847.5000000000,7848.5000000000,7847.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
121,2013-07-19 09:17:00.000547+01,LFZ,100,5,6384.0000000000,6384.5000000000,6384.5000000000,6384.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
122,2013-07-19 09:17:00.000547+01,EUR/GBP,147,2,0.8431000000,0.8430000000,0.8431000000,0.8430000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
123,2013-07-19 09:18:00.000427+01,6A,669,55,1.0297000000,1.0298000000,1.0298000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
124,2013-07-19 09:18:00.000427+01,FDAX,977,63,7847.0000000000,7851.0000000000,7852.0000000000,7847.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
125,2013-07-19 09:18:00.000427+01,LFZ,324,20,6384.5000000000,6386.0000000000,6386.0000000000,6384.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
126,2013-07-19 09:18:00.000427+01,EUR/GBP,115,1,0.8428500000,0.8428500000,0.8428500000,0.8428500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
127,2013-07-19 09:19:00.00018+01,6A,446,36,1.0298000000,1.0298000000,1.0299000000,1.0298000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
128,2013-07-19 09:19:00.00018+01,FDAX,577,58,7851.5000000000,7854.0000000000,7854.0000000000,7851.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
129,2013-07-19 09:19:00.00018+01,LFZ,198,13,6386.0000000000,6386.0000000000,6386.5000000000,6385.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
130,2013-07-19 09:19:00.00018+01,EUR/GBP,53,0,0.8428750000,0.8428750000,0.8428750000,0.8428750000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
131,2013-07-19 09:20:00.000457+01,6A,471,40,1.0297000000,1.0296000000,1.0298000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
132,2013-07-19 09:20:00.000457+01,FDAX,972,39,7853.0000000000,7852.5000000000,7853.0000000000,7850.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
133,2013-07-19 09:20:00.000457+01,LFZ,437,43,6385.5000000000,6386.0000000000,6387.5000000000,6385.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
134,2013-07-19 09:20:00.000457+01,EUR/GBP,42,1,0.8429000000,0.8429000000,0.8429000000,0.8429000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
135,2013-07-19 09:21:00.000428+01,6A,349,13,1.0296000000,1.0297000000,1.0297000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
136,2013-07-19 09:21:00.000428+01,FDAX,776,32,7852.5000000000,7851.0000000000,7853.5000000000,7851.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
137,2013-07-19 09:21:00.000428+01,LFZ,178,7,6385.5000000000,6384.5000000000,6386.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
138,2013-07-19 09:21:00.000428+01,EUR/GBP,180,5,0.8428000000,0.8428500000,0.8429000000,0.8427500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
139,2013-07-19 09:22:00.000467+01,6A,426,45,1.0296000000,1.0297000000,1.0297000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
140,2013-07-19 09:22:00.000467+01,FDAX,984,68,7851.5000000000,7854.5000000000,7856.0000000000,7851.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
141,2013-07-19 09:22:00.000467+01,LFZ,355,30,6384.5000000000,6386.0000000000,6386.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
142,2013-07-19 09:22:00.000467+01,EUR/GBP,85,5,0.8429000000,0.8429500000,0.8429500000,0.8429000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
143,2013-07-19 09:23:00.000428+01,6A,397,32,1.0297000000,1.0296000000,1.0297000000,1.0296000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
144,2013-07-19 09:23:00.000428+01,FDAX,868,52,7854.0000000000,7851.5000000000,7855.0000000000,7851.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
145,2013-07-19 09:23:00.000428+01,LFZ,274,13,6385.0000000000,6384.5000000000,6385.0000000000,6384.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
