Date,Symbol,TimeStamp,QuoteCount,TradeCount,OpenPx,ClosePx,HighPx,LowPx
20130719,LFZ,2013-07-19 09:05:00.000545935,750,76,6388.0000000,6384.5000000,6388.0000000,6383.5000000
20130719,EUR/GBP,2013-07-19 09:05:00.000545935,171,3,0.8431000,0.8429000,0.8431000,0.8429000
20130719,6A,2013-07-19 09:06:00.000544497,773,139,1.0294000,1.0297000,1.0297000,1.0294000
20130719,FDAX,2013-07-19 09:06:00.000544497,1710,104,7850.5000000,7847.5000000,7850.5000000,7846.0000000
20130719,LFZ,2013-07-19 09:06:00.000544497,408,29,6384.5000000,6384.5000000,6385.0000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:06:00.000544497,116,0,0.8429000,0.8429000,0.8429000,0.8429000
20130719,6A,2013-07-19 09:07:00.000455167,541,41,1.0298000,1.0299000,1.0299000,1.0298000
20130719,FDAX,2013-07-19 09:07:00.000455167,1157,83,7847.0000000,7850.5000000,7852.5000000,7847.0000000
20130719,LFZ,2013-07-19 09:07:00.000455167,277,20,6384.5000000,6385.5000000,6386.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:07:00.000455167,349,8,0.8429000,0.8433000,0.8433000,0.8429000
20130719,6A,2013-07-19 09:08:00.000084630,287,23,1.0299000,1.0300000,1.0300000,1.0299000
20130719,FDAX,2013-07-19 09:08:00.000084630,545,28,7851.0000000,7852.5000000,7853.0000000,7850.5000000
20130719,LFZ,2013-07-19 09:08:00.000084630,185,11,6385.0000000,6385.0000000,6385.0000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:08:00.000084630,128,0,0.8432000,0.8432000,0.8432000,0.8432000
20130719,6A,2013-07-19 09:09:00.000552732,747,68,1.0300000,1.0299000,1.0301000,1.0299000
20130719,FDAX,2013-07-19 09:09:00.000552732,911,41,7853.0000000,7851.5000000,7853.5000000,7850.0000000
20130719,LFZ,2013-07-19 09:09:00.000552732,327,20,6385.5000000,6384.5000000,6385.5000000,6384.0000000
20130719,EUR/GBP,2013-07-19 09:09:00.000552732,202,5,0.8433000,0.8433000,0.8433000,0.8433000
20130719,6A,2013-07-19 09:10:00.000430859,163,5,1.0300000,1.0300000,1.0300000,1.0299000
20130719,FDAX,2013-07-19 09:10:00.000430859,908,70,7852.0000000,7847.5000000,7852.0000000,7847.0000000
20130719,LFZ,2013-07-19 09:10:00.000430859,249,18,6384.5000000,6385.0000000,6385.5000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:10:00.000430859,139,1,0.8432000,0.8432000,0.8432000,0.8432000
20130719,6A,2013-07-19 09:11:00.000427501,376,32,1.0299000,1.0299000,1.0299000,1.0298000
20130719,FDAX,2013-07-19 09:11:00.000427501,943,88,7847.5000000,7846.5000000,7847.5000000,7845.0000000
20130719,LFZ,2013-07-19 09:11:00.000427501,191,19,6385.5000000,6385.0000000,6386.5000000,6384.5000000
20130719,EUR/GBP,2013-07-19 09:11:00.000427501,106,5,0.8430000,0.8429500,0.8430000,0.8429500
20130719,6A,2013-07-19 09:12:00.000548194,434,42,1.0300000,1.0300000,1.0300000,1.0299000
20130719,FDAX,2013-07-19 09:12:00.000548194,889,44,7847.0000000,7847.5000000,7848.5000000,7846.5000000
20130719,LFZ,2013-07-19 09:12:00.000548194,296,18,6385.5000000,6385.5000000,6386.5000000,6385.5000000
20130719,EUR/GBP,2013-07-19 09:12:00.000548194,108,0,0.8430000,0.8430000,0.8430000,0.8430000
